Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Bch-16S-V3V4-016-2_S16_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 8.0)	(21.0, 25.0)	(22.0, 76.0)	(23.0, 195.0)	(24.0, 305.0)	(25.0, 456.0)	(26.0, 835.0)	(27.0, 1361.0)	(28.0, 1954.0)	(29.0, 2747.0)	(30.0, 3808.0)	(31.0, 5236.0)	(32.0, 7844.0)	(33.0, 11734.0)	(34.0, 18338.0)	(35.0, 35251.0)	(36.0, 30674.0)	(37.0, 16.0)
Bch-16S-V3V4-016-2_S16_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 34.0)	(14.0, 92.0)	(15.0, 99.0)	(16.0, 53.0)	(17.0, 34.0)	(18.0, 17.0)	(19.0, 37.0)	(20.0, 62.0)	(21.0, 104.0)	(22.0, 175.0)	(23.0, 245.0)	(24.0, 423.0)	(25.0, 347.0)	(26.0, 551.0)	(27.0, 763.0)	(28.0, 1172.0)	(29.0, 1906.0)	(30.0, 2945.0)	(31.0, 4557.0)	(32.0, 7136.0)	(33.0, 10949.0)	(34.0, 17061.0)	(35.0, 34301.0)	(36.0, 37737.0)	(37.0, 62.0)
Bch-16S-V3V4-017-2_S17_L002_R1_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 17.0)	(21.0, 31.0)	(22.0, 95.0)	(23.0, 246.0)	(24.0, 378.0)	(25.0, 566.0)	(26.0, 1033.0)	(27.0, 1450.0)	(28.0, 2126.0)	(29.0, 2939.0)	(30.0, 3992.0)	(31.0, 5690.0)	(32.0, 8253.0)	(33.0, 12508.0)	(34.0, 19826.0)	(35.0, 38351.0)	(36.0, 33820.0)	(37.0, 15.0)
Bch-16S-V3V4-017-2_S17_L002_R2_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 38.0)	(14.0, 97.0)	(15.0, 99.0)	(16.0, 59.0)	(17.0, 37.0)	(18.0, 31.0)	(19.0, 30.0)	(20.0, 45.0)	(21.0, 141.0)	(22.0, 200.0)	(23.0, 299.0)	(24.0, 496.0)	(25.0, 477.0)	(26.0, 584.0)	(27.0, 906.0)	(28.0, 1444.0)	(29.0, 2196.0)	(30.0, 3361.0)	(31.0, 5191.0)	(32.0, 7648.0)	(33.0, 11984.0)	(34.0, 18745.0)	(35.0, 36913.0)	(36.0, 40257.0)	(37.0, 58.0)
Bch-16S-V3V4-018-2_S18_L002_R1_001	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 2.0)	(20.0, 13.0)	(21.0, 59.0)	(22.0, 150.0)	(23.0, 309.0)	(24.0, 491.0)	(25.0, 593.0)	(26.0, 1036.0)	(27.0, 1632.0)	(28.0, 2286.0)	(29.0, 3031.0)	(30.0, 4464.0)	(31.0, 6305.0)	(32.0, 8948.0)	(33.0, 12819.0)	(34.0, 20314.0)	(35.0, 32498.0)	(36.0, 15300.0)	(37.0, 7.0)
Bch-16S-V3V4-018-2_S18_L002_R2_001	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 21.0)	(14.0, 76.0)	(15.0, 85.0)	(16.0, 43.0)	(17.0, 17.0)	(18.0, 17.0)	(19.0, 25.0)	(20.0, 34.0)	(21.0, 87.0)	(22.0, 168.0)	(23.0, 314.0)	(24.0, 508.0)	(25.0, 283.0)	(26.0, 409.0)	(27.0, 596.0)	(28.0, 919.0)	(29.0, 1545.0)	(30.0, 2491.0)	(31.0, 4024.0)	(32.0, 6225.0)	(33.0, 9678.0)	(34.0, 15505.0)	(35.0, 31305.0)	(36.0, 35852.0)	(37.0, 39.0)
Bch-16S-V3V4-019-2_S19_L002_R1_001	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 4.0)	(20.0, 22.0)	(21.0, 54.0)	(22.0, 160.0)	(23.0, 349.0)	(24.0, 532.0)	(25.0, 555.0)	(26.0, 962.0)	(27.0, 1560.0)	(28.0, 2046.0)	(29.0, 2959.0)	(30.0, 4188.0)	(31.0, 5861.0)	(32.0, 8460.0)	(33.0, 12207.0)	(34.0, 18615.0)	(35.0, 32903.0)	(36.0, 19341.0)	(37.0, 11.0)
Bch-16S-V3V4-019-2_S19_L002_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 28.0)	(14.0, 70.0)	(15.0, 86.0)	(16.0, 43.0)	(17.0, 21.0)	(18.0, 13.0)	(19.0, 20.0)	(20.0, 49.0)	(21.0, 111.0)	(22.0, 186.0)	(23.0, 332.0)	(24.0, 659.0)	(25.0, 311.0)	(26.0, 397.0)	(27.0, 608.0)	(28.0, 971.0)	(29.0, 1484.0)	(30.0, 2499.0)	(31.0, 3945.0)	(32.0, 6146.0)	(33.0, 9371.0)	(34.0, 15388.0)	(35.0, 30476.0)	(36.0, 37516.0)	(37.0, 62.0)
Bch-16S-V3V4-020-2_S20_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 7.0)	(20.0, 15.0)	(21.0, 40.0)	(22.0, 128.0)	(23.0, 308.0)	(24.0, 360.0)	(25.0, 328.0)	(26.0, 568.0)	(27.0, 951.0)	(28.0, 1334.0)	(29.0, 1867.0)	(30.0, 2493.0)	(31.0, 3453.0)	(32.0, 4930.0)	(33.0, 7730.0)	(34.0, 12439.0)	(35.0, 25430.0)	(36.0, 30627.0)	(37.0, 34.0)
Bch-16S-V3V4-020-2_S20_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 29.0)	(14.0, 60.0)	(15.0, 55.0)	(16.0, 27.0)	(17.0, 17.0)	(18.0, 20.0)	(19.0, 28.0)	(20.0, 50.0)	(21.0, 82.0)	(22.0, 147.0)	(23.0, 295.0)	(24.0, 653.0)	(25.0, 279.0)	(26.0, 434.0)	(27.0, 637.0)	(28.0, 901.0)	(29.0, 1456.0)	(30.0, 2232.0)	(31.0, 3522.0)	(32.0, 5424.0)	(33.0, 8038.0)	(34.0, 12509.0)	(35.0, 25055.0)	(36.0, 31046.0)	(37.0, 45.0)
Bch-16S-V3V4-021-2_S21_L002_R1_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 8.0)	(21.0, 27.0)	(22.0, 81.0)	(23.0, 175.0)	(24.0, 370.0)	(25.0, 689.0)	(26.0, 1202.0)	(27.0, 1639.0)	(28.0, 2223.0)	(29.0, 3020.0)	(30.0, 4112.0)	(31.0, 5863.0)	(32.0, 8069.0)	(33.0, 11325.0)	(34.0, 17841.0)	(35.0, 25598.0)	(36.0, 8945.0)	(37.0, 1.0)
Bch-16S-V3V4-021-2_S21_L002_R2_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 20.0)	(14.0, 49.0)	(15.0, 54.0)	(16.0, 30.0)	(17.0, 21.0)	(18.0, 21.0)	(19.0, 31.0)	(20.0, 41.0)	(21.0, 69.0)	(22.0, 103.0)	(23.0, 127.0)	(24.0, 218.0)	(25.0, 226.0)	(26.0, 316.0)	(27.0, 486.0)	(28.0, 814.0)	(29.0, 1262.0)	(30.0, 2119.0)	(31.0, 3426.0)	(32.0, 5306.0)	(33.0, 8198.0)	(34.0, 13355.0)	(35.0, 27059.0)	(36.0, 27792.0)	(37.0, 46.0)
Bch-16S-V3V4-022-2_S22_L002_R1_001	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 9.0)	(21.0, 25.0)	(22.0, 92.0)	(23.0, 226.0)	(24.0, 299.0)	(25.0, 323.0)	(26.0, 585.0)	(27.0, 889.0)	(28.0, 1287.0)	(29.0, 1685.0)	(30.0, 2384.0)	(31.0, 3144.0)	(32.0, 4548.0)	(33.0, 7235.0)	(34.0, 12451.0)	(35.0, 25693.0)	(36.0, 40048.0)	(37.0, 78.0)
Bch-16S-V3V4-022-2_S22_L002_R2_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 18.0)	(14.0, 55.0)	(15.0, 65.0)	(16.0, 37.0)	(17.0, 21.0)	(18.0, 26.0)	(19.0, 21.0)	(20.0, 47.0)	(21.0, 102.0)	(22.0, 186.0)	(23.0, 286.0)	(24.0, 553.0)	(25.0, 374.0)	(26.0, 528.0)	(27.0, 799.0)	(28.0, 1142.0)	(29.0, 1733.0)	(30.0, 2706.0)	(31.0, 4065.0)	(32.0, 6113.0)	(33.0, 8899.0)	(34.0, 14104.0)	(35.0, 27415.0)	(36.0, 31664.0)	(37.0, 47.0)
Bch-16S-V3V4-023-2_S23_L002_R1_001	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 7.0)	(20.0, 23.0)	(21.0, 58.0)	(22.0, 201.0)	(23.0, 472.0)	(24.0, 583.0)	(25.0, 544.0)	(26.0, 918.0)	(27.0, 1394.0)	(28.0, 1923.0)	(29.0, 2617.0)	(30.0, 3383.0)	(31.0, 4646.0)	(32.0, 6744.0)	(33.0, 10549.0)	(34.0, 17784.0)	(35.0, 36520.0)	(36.0, 56019.0)	(37.0, 99.0)
Bch-16S-V3V4-023-2_S23_L002_R2_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 35.0)	(14.0, 77.0)	(15.0, 73.0)	(16.0, 55.0)	(17.0, 40.0)	(18.0, 29.0)	(19.0, 43.0)	(20.0, 71.0)	(21.0, 155.0)	(22.0, 300.0)	(23.0, 496.0)	(24.0, 1018.0)	(25.0, 544.0)	(26.0, 752.0)	(27.0, 1188.0)	(28.0, 1676.0)	(29.0, 2560.0)	(30.0, 3716.0)	(31.0, 5741.0)	(32.0, 8761.0)	(33.0, 12669.0)	(34.0, 19706.0)	(35.0, 38857.0)	(36.0, 45860.0)	(37.0, 70.0)
Bch-16S-V3V4-024-2_S24_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 4.0)	(21.0, 8.0)	(22.0, 57.0)	(23.0, 145.0)	(24.0, 193.0)	(25.0, 259.0)	(26.0, 392.0)	(27.0, 578.0)	(28.0, 857.0)	(29.0, 1191.0)	(30.0, 1531.0)	(31.0, 1948.0)	(32.0, 2843.0)	(33.0, 4679.0)	(34.0, 7579.0)	(35.0, 16072.0)	(36.0, 25765.0)	(37.0, 49.0)
Bch-16S-V3V4-024-2_S24_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 15.0)	(14.0, 39.0)	(15.0, 47.0)	(16.0, 22.0)	(17.0, 20.0)	(18.0, 17.0)	(19.0, 25.0)	(20.0, 33.0)	(21.0, 77.0)	(22.0, 106.0)	(23.0, 206.0)	(24.0, 341.0)	(25.0, 294.0)	(26.0, 445.0)	(27.0, 585.0)	(28.0, 902.0)	(29.0, 1329.0)	(30.0, 1936.0)	(31.0, 2843.0)	(32.0, 4110.0)	(33.0, 6014.0)	(34.0, 9441.0)	(35.0, 17766.0)	(36.0, 17511.0)	(37.0, 27.0)
Bch-16S-V3V4-025-2_S25_L002_R1_001	(2.0, 152.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 8.0)	(17.0, 23.0)	(18.0, 53.0)	(19.0, 78.0)	(20.0, 210.0)	(21.0, 530.0)	(22.0, 1604.0)	(23.0, 4412.0)	(24.0, 5256.0)	(25.0, 348.0)	(26.0, 563.0)	(27.0, 849.0)	(28.0, 1274.0)	(29.0, 1642.0)	(30.0, 2094.0)	(31.0, 2854.0)	(32.0, 3952.0)	(33.0, 6424.0)	(34.0, 10923.0)	(35.0, 22683.0)	(36.0, 39606.0)	(37.0, 104.0)
Bch-16S-V3V4-025-2_S25_L002_R2_001	(2.0, 101.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 11.0)	(13.0, 30.0)	(14.0, 88.0)	(15.0, 77.0)	(16.0, 53.0)	(17.0, 25.0)	(18.0, 46.0)	(19.0, 50.0)	(20.0, 138.0)	(21.0, 303.0)	(22.0, 1028.0)	(23.0, 2942.0)	(24.0, 8294.0)	(25.0, 484.0)	(26.0, 597.0)	(27.0, 863.0)	(28.0, 1188.0)	(29.0, 1770.0)	(30.0, 2657.0)	(31.0, 3940.0)	(32.0, 5729.0)	(33.0, 8522.0)	(34.0, 13040.0)	(35.0, 25617.0)	(36.0, 28003.0)	(37.0, 49.0)
Bch-16S-V3V4-026-2_S26_L002_R1_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 8.0)	(19.0, 8.0)	(20.0, 9.0)	(21.0, 50.0)	(22.0, 152.0)	(23.0, 497.0)	(24.0, 393.0)	(25.0, 347.0)	(26.0, 680.0)	(27.0, 1033.0)	(28.0, 1628.0)	(29.0, 2260.0)	(30.0, 2862.0)	(31.0, 3975.0)	(32.0, 5717.0)	(33.0, 8971.0)	(34.0, 15162.0)	(35.0, 30810.0)	(36.0, 49603.0)	(37.0, 94.0)
Bch-16S-V3V4-026-2_S26_L002_R2_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 6.0)	(13.0, 32.0)	(14.0, 101.0)	(15.0, 92.0)	(16.0, 69.0)	(17.0, 38.0)	(18.0, 32.0)	(19.0, 42.0)	(20.0, 84.0)	(21.0, 141.0)	(22.0, 255.0)	(23.0, 415.0)	(24.0, 872.0)	(25.0, 507.0)	(26.0, 711.0)	(27.0, 991.0)	(28.0, 1444.0)	(29.0, 2302.0)	(30.0, 3376.0)	(31.0, 5279.0)	(32.0, 7684.0)	(33.0, 11581.0)	(34.0, 17601.0)	(35.0, 34757.0)	(36.0, 35807.0)	(37.0, 43.0)
Bch-16S-V3V4-027-2_S27_L002_R1_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 17.0)	(21.0, 40.0)	(22.0, 114.0)	(23.0, 293.0)	(24.0, 326.0)	(25.0, 411.0)	(26.0, 673.0)	(27.0, 1071.0)	(28.0, 1496.0)	(29.0, 1999.0)	(30.0, 2714.0)	(31.0, 3629.0)	(32.0, 5182.0)	(33.0, 8126.0)	(34.0, 13960.0)	(35.0, 29291.0)	(36.0, 45164.0)	(37.0, 87.0)
Bch-16S-V3V4-027-2_S27_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 35.0)	(14.0, 80.0)	(15.0, 97.0)	(16.0, 59.0)	(17.0, 40.0)	(18.0, 32.0)	(19.0, 29.0)	(20.0, 70.0)	(21.0, 141.0)	(22.0, 208.0)	(23.0, 383.0)	(24.0, 651.0)	(25.0, 426.0)	(26.0, 664.0)	(27.0, 937.0)	(28.0, 1427.0)	(29.0, 2104.0)	(30.0, 3182.0)	(31.0, 4829.0)	(32.0, 6850.0)	(33.0, 10550.0)	(34.0, 16087.0)	(35.0, 31673.0)	(36.0, 33977.0)	(37.0, 71.0)
Bch-16S-V3V4-028-2_S28_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 4.0)	(21.0, 22.0)	(22.0, 64.0)	(23.0, 126.0)	(24.0, 260.0)	(25.0, 488.0)	(26.0, 885.0)	(27.0, 1289.0)	(28.0, 1783.0)	(29.0, 2631.0)	(30.0, 3367.0)	(31.0, 4677.0)	(32.0, 6737.0)	(33.0, 10749.0)	(34.0, 17171.0)	(35.0, 34881.0)	(36.0, 40571.0)	(37.0, 38.0)
Bch-16S-V3V4-028-2_S28_L002_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 33.0)	(14.0, 68.0)	(15.0, 80.0)	(16.0, 69.0)	(17.0, 30.0)	(18.0, 30.0)	(19.0, 42.0)	(20.0, 64.0)	(21.0, 110.0)	(22.0, 149.0)	(23.0, 258.0)	(24.0, 338.0)	(25.0, 454.0)	(26.0, 654.0)	(27.0, 932.0)	(28.0, 1519.0)	(29.0, 2288.0)	(30.0, 3526.0)	(31.0, 5360.0)	(32.0, 8007.0)	(33.0, 11934.0)	(34.0, 18163.0)	(35.0, 35334.0)	(36.0, 36261.0)	(37.0, 40.0)
Bch-16S-V3V4-029-2_S29_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 12.0)	(22.0, 63.0)	(23.0, 158.0)	(24.0, 253.0)	(25.0, 407.0)	(26.0, 652.0)	(27.0, 1014.0)	(28.0, 1342.0)	(29.0, 1938.0)	(30.0, 2498.0)	(31.0, 3477.0)	(32.0, 4987.0)	(33.0, 7978.0)	(34.0, 13079.0)	(35.0, 26358.0)	(36.0, 37278.0)	(37.0, 55.0)
Bch-16S-V3V4-029-2_S29_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 26.0)	(14.0, 67.0)	(15.0, 94.0)	(16.0, 46.0)	(17.0, 25.0)	(18.0, 31.0)	(19.0, 28.0)	(20.0, 53.0)	(21.0, 122.0)	(22.0, 167.0)	(23.0, 270.0)	(24.0, 366.0)	(25.0, 387.0)	(26.0, 551.0)	(27.0, 827.0)	(28.0, 1175.0)	(29.0, 1769.0)	(30.0, 2702.0)	(31.0, 4134.0)	(32.0, 6090.0)	(33.0, 9284.0)	(34.0, 14177.0)	(35.0, 27925.0)	(36.0, 31183.0)	(37.0, 47.0)
Bch-16S-V3V4-030-2_S30_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 7.0)	(21.0, 19.0)	(22.0, 51.0)	(23.0, 129.0)	(24.0, 204.0)	(25.0, 300.0)	(26.0, 492.0)	(27.0, 820.0)	(28.0, 1011.0)	(29.0, 1418.0)	(30.0, 1919.0)	(31.0, 2615.0)	(32.0, 3559.0)	(33.0, 5900.0)	(34.0, 9812.0)	(35.0, 20513.0)	(36.0, 32078.0)	(37.0, 56.0)
Bch-16S-V3V4-030-2_S30_L002_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 18.0)	(14.0, 57.0)	(15.0, 59.0)	(16.0, 53.0)	(17.0, 35.0)	(18.0, 21.0)	(19.0, 36.0)	(20.0, 48.0)	(21.0, 88.0)	(22.0, 153.0)	(23.0, 234.0)	(24.0, 394.0)	(25.0, 356.0)	(26.0, 478.0)	(27.0, 742.0)	(28.0, 986.0)	(29.0, 1528.0)	(30.0, 2378.0)	(31.0, 3557.0)	(32.0, 5078.0)	(33.0, 7443.0)	(34.0, 11481.0)	(35.0, 21685.0)	(36.0, 23964.0)	(37.0, 32.0)
Bch-16S-V3V4-031-2_S31_L002_R1_001	(18.0, 1.0)	(19.0, 2.0)	(20.0, 14.0)	(21.0, 39.0)	(22.0, 141.0)	(23.0, 317.0)	(24.0, 692.0)	(25.0, 1274.0)	(26.0, 2012.0)	(27.0, 2974.0)	(28.0, 4073.0)	(29.0, 5666.0)	(30.0, 7673.0)	(31.0, 10429.0)	(32.0, 14114.0)	(33.0, 16395.0)	(34.0, 11573.0)	(35.0, 3394.0)	(36.0, 321.0)																	
Bch-16S-V3V4-031-2_S31_L002_R2_001	(12.0, 2.0)	(13.0, 26.0)	(14.0, 51.0)	(15.0, 72.0)	(16.0, 44.0)	(17.0, 28.0)	(18.0, 16.0)	(19.0, 20.0)	(20.0, 27.0)	(21.0, 41.0)	(22.0, 55.0)	(23.0, 91.0)	(24.0, 98.0)	(25.0, 157.0)	(26.0, 197.0)	(27.0, 265.0)	(28.0, 443.0)	(29.0, 705.0)	(30.0, 1180.0)	(31.0, 2017.0)	(32.0, 3399.0)	(33.0, 5936.0)	(34.0, 10606.0)	(35.0, 24843.0)	(36.0, 30737.0)	(37.0, 48.0)										
