Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Bch-16S-V3V4-006-2_S6_L002_R1_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 31.0)	(21.0, 67.0)	(22.0, 149.0)	(23.0, 367.0)	(24.0, 436.0)	(25.0, 481.0)	(26.0, 825.0)	(27.0, 1220.0)	(28.0, 1784.0)	(29.0, 2476.0)	(30.0, 3300.0)	(31.0, 4546.0)	(32.0, 6539.0)	(33.0, 10256.0)	(34.0, 16819.0)	(35.0, 33790.0)	(36.0, 46218.0)	(37.0, 60.0)
Bch-16S-V3V4-006-2_S6_L002_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 9.0)	(13.0, 22.0)	(14.0, 91.0)	(15.0, 110.0)	(16.0, 55.0)	(17.0, 32.0)	(18.0, 25.0)	(19.0, 44.0)	(20.0, 70.0)	(21.0, 123.0)	(22.0, 244.0)	(23.0, 401.0)	(24.0, 740.0)	(25.0, 416.0)	(26.0, 673.0)	(27.0, 921.0)	(28.0, 1312.0)	(29.0, 2084.0)	(30.0, 3244.0)	(31.0, 4925.0)	(32.0, 7635.0)	(33.0, 11069.0)	(34.0, 17714.0)	(35.0, 35228.0)	(36.0, 42137.0)	(37.0, 62.0)
Bch-16S-V3V4-007-2_S7_L002_R1_001	(2.0, 40.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 9.0)	(18.0, 18.0)	(19.0, 41.0)	(20.0, 109.0)	(21.0, 293.0)	(22.0, 741.0)	(23.0, 1574.0)	(24.0, 1356.0)	(25.0, 686.0)	(26.0, 1184.0)	(27.0, 1783.0)	(28.0, 2501.0)	(29.0, 3135.0)	(30.0, 4234.0)	(31.0, 5725.0)	(32.0, 8472.0)	(33.0, 13455.0)	(34.0, 21630.0)	(35.0, 42883.0)	(36.0, 43777.0)	(37.0, 23.0)
Bch-16S-V3V4-007-2_S7_L002_R2_001	(2.0, 31.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 48.0)	(14.0, 108.0)	(15.0, 149.0)	(16.0, 65.0)	(17.0, 37.0)	(18.0, 40.0)	(19.0, 46.0)	(20.0, 78.0)	(21.0, 195.0)	(22.0, 501.0)	(23.0, 1120.0)	(24.0, 2729.0)	(25.0, 564.0)	(26.0, 716.0)	(27.0, 1062.0)	(28.0, 1491.0)	(29.0, 2369.0)	(30.0, 3610.0)	(31.0, 5465.0)	(32.0, 8413.0)	(33.0, 12959.0)	(34.0, 20363.0)	(35.0, 40759.0)	(36.0, 50652.0)	(37.0, 96.0)
Bch-16S-V3V4-008-2_S8_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 6.0)	(19.0, 13.0)	(20.0, 33.0)	(21.0, 102.0)	(22.0, 218.0)	(23.0, 332.0)	(24.0, 504.0)	(25.0, 877.0)	(26.0, 1414.0)	(27.0, 1968.0)	(28.0, 2881.0)	(29.0, 4058.0)	(30.0, 5643.0)	(31.0, 7758.0)	(32.0, 10898.0)	(33.0, 16329.0)	(34.0, 22718.0)	(35.0, 19535.0)	(36.0, 3558.0)	(37.0, 1.0)
Bch-16S-V3V4-008-2_S8_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 18.0)	(14.0, 76.0)	(15.0, 82.0)	(16.0, 43.0)	(17.0, 33.0)	(18.0, 21.0)	(19.0, 23.0)	(20.0, 35.0)	(21.0, 70.0)	(22.0, 135.0)	(23.0, 269.0)	(24.0, 427.0)	(25.0, 223.0)	(26.0, 275.0)	(27.0, 455.0)	(28.0, 760.0)	(29.0, 1196.0)	(30.0, 2002.0)	(31.0, 3246.0)	(32.0, 5194.0)	(33.0, 8534.0)	(34.0, 14017.0)	(35.0, 29183.0)	(36.0, 32489.0)	(37.0, 39.0)
Bch-16S-V3V4-009-2_S9_L002_R1_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 12.0)	(21.0, 56.0)	(22.0, 159.0)	(23.0, 307.0)	(24.0, 500.0)	(25.0, 512.0)	(26.0, 912.0)	(27.0, 1309.0)	(28.0, 1794.0)	(29.0, 2528.0)	(30.0, 3192.0)	(31.0, 4599.0)	(32.0, 6598.0)	(33.0, 10376.0)	(34.0, 16260.0)	(35.0, 32321.0)	(36.0, 33053.0)	(37.0, 26.0)
Bch-16S-V3V4-009-2_S9_L002_R2_001	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 35.0)	(14.0, 115.0)	(15.0, 82.0)	(16.0, 47.0)	(17.0, 37.0)	(18.0, 30.0)	(19.0, 34.0)	(20.0, 44.0)	(21.0, 84.0)	(22.0, 211.0)	(23.0, 350.0)	(24.0, 666.0)	(25.0, 361.0)	(26.0, 461.0)	(27.0, 720.0)	(28.0, 1051.0)	(29.0, 1682.0)	(30.0, 2635.0)	(31.0, 4002.0)	(32.0, 6301.0)	(33.0, 9768.0)	(34.0, 14904.0)	(35.0, 30601.0)	(36.0, 40221.0)	(37.0, 81.0)
Bch-16S-V3V4-010-2_S10_L002_R1_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 16.0)	(21.0, 46.0)	(22.0, 136.0)	(23.0, 332.0)	(24.0, 377.0)	(25.0, 453.0)	(26.0, 835.0)	(27.0, 1234.0)	(28.0, 1715.0)	(29.0, 2301.0)	(30.0, 3019.0)	(31.0, 4104.0)	(32.0, 5807.0)	(33.0, 9343.0)	(34.0, 15630.0)	(35.0, 32020.0)	(36.0, 43137.0)	(37.0, 50.0)
Bch-16S-V3V4-010-2_S10_L002_R2_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 38.0)	(14.0, 101.0)	(15.0, 111.0)	(16.0, 70.0)	(17.0, 36.0)	(18.0, 23.0)	(19.0, 34.0)	(20.0, 81.0)	(21.0, 121.0)	(22.0, 229.0)	(23.0, 359.0)	(24.0, 727.0)	(25.0, 470.0)	(26.0, 655.0)	(27.0, 968.0)	(28.0, 1406.0)	(29.0, 2013.0)	(30.0, 3089.0)	(31.0, 4673.0)	(32.0, 7089.0)	(33.0, 10733.0)	(34.0, 16528.0)	(35.0, 32099.0)	(36.0, 38841.0)	(37.0, 64.0)
