Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Bch-16S-V3V4-007-2_S7_L002_R1_001	(1.0, 5.848896987050172)	(2.0, 2.048545584694475)	(3.0, 1.3978004815513763)	(4.0, 1.0047504392529447)	(5.0, 0.8199388299603045)	(6.0, 0.6949957701568296)	(7.0, 0.7926075356282943)	(8.0, 0.5986854948916509)	(9.0, 0.6149541224702284)	('>10', 12.347237587037158)	('>50', 6.8757727598099825)	('>100', 22.904926140430792)	('>500', 20.148369883516626)	('>1k', 23.902518383549165)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-007-2_S7_L002_R2_001	(1.0, 5.205310080041647)	(2.0, 1.7010476996160606)	(3.0, 1.2201470683933104)	(4.0, 0.9865295763649378)	(5.0, 0.9175505954317693)	(6.0, 0.7887030650094359)	(7.0, 0.6969480054662589)	(8.0, 0.5310080041647686)	(9.0, 0.5563870631873494)	('>10', 9.51259191774582)	('>50', 7.0696948005466265)	('>100', 25.88013275200104)	('>500', 5.489034945012039)	('>1k', 39.44491442701894)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-008-2_S8_L002_R1_001	(1.0, 9.788370493262654)	(2.0, 2.7738437259741837)	(3.0, 1.7359284587059443)	(4.0, 1.339376036903654)	(5.0, 1.0470197871565572)	(6.0, 0.8922429490551531)	(7.0, 0.7435357908792943)	(8.0, 0.7445474042002185)	(9.0, 0.7101525512887954)	('>10', 16.366891919232792)	('>50', 7.556751507303848)	('>100', 27.538137822198845)	('>500', 10.318455873426942)	('>1k', 18.44474568041112)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-008-2_S8_L002_R2_001	(1.0, 6.267956136446405)	(2.0, 2.1547363735685674)	(3.0, 1.2989115040666857)	(4.0, 1.0520778537611783)	(5.0, 0.9408003884595152)	(6.0, 0.7587099906931575)	(7.0, 0.5594221664710881)	(8.0, 0.655525431958888)	(9.0, 0.573584752964027)	('>10', 12.389228341358798)	('>50', 8.084813660826287)	('>100', 19.037551086472707)	('>500', 10.431756565370453)	('>1k', 35.79492574758225)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-009-2_S9_L002_R1_001	(1.0, 7.5926378654000635)	(2.0, 2.4814025774456048)	(3.0, 1.4877938043516221)	(4.0, 1.047742115740579)	(5.0, 0.8556560611881395)	(6.0, 0.8591485349072747)	(7.0, 0.7762022840778123)	(8.0, 0.7194495861418643)	(9.0, 0.7700904550693256)	('>10', 17.525233122620755)	('>50', 9.376418817448398)	('>100', 27.916215555477947)	('>500', 14.795864911116544)	('>1k', 13.796144309014075)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-009-2_S9_L002_R2_001	(1.0, 6.397338735026019)	(2.0, 2.2177208116508926)	(3.0, 1.498271225509028)	(4.0, 1.1909335382251247)	(5.0, 0.9255055355708449)	(6.0, 0.8853420878007893)	(7.0, 0.7089721649844585)	(8.0, 0.7334194810184053)	(9.0, 0.5657807424999127)	('>10', 11.552229944469667)	('>50', 9.82520169035728)	('>100', 23.045087835714035)	('>500', 2.9092306080396746)	('>1k', 37.54496559913387)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-010-2_S10_L002_R1_001	(1.0, 7.048958704829519)	(2.0, 2.337212099095139)	(3.0, 1.4182514866759006)	(4.0, 1.091473073956424)	(5.0, 0.8791500443721956)	(6.0, 0.761377113899694)	(7.0, 0.8476333446682867)	(8.0, 0.7431306035447993)	(9.0, 0.4926557795821549)	('>10', 15.275646714384056)	('>50', 8.311285466654503)	('>100', 27.66336847168888)	('>500', 18.21831120252797)	('>1k', 14.911545894120476)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-010-2_S10_L002_R2_001	(1.0, 7.00748936311385)	(2.0, 2.0253626493933035)	(3.0, 1.3809290791317979)	(4.0, 1.091473073956424)	(5.0, 0.8791500443721956)	(6.0, 0.7364955088702922)	(7.0, 0.7837705584261556)	(8.0, 0.6568743727762065)	(9.0, 0.5374426686350781)	('>10', 12.625755778752767)	('>50', 9.375388775078584)	('>100', 24.964543712833105)	('>500', 7.856781481450763)	('>1k', 30.07854293320948)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-011-2_S11_L002_R1_001	(1.0, 11.228397944885568)	(2.0, 3.1760859411489957)	(3.0, 1.9025377549431728)	(4.0, 1.353469303025585)	(5.0, 0.9756603871503452)	(6.0, 0.8345010119881676)	(7.0, 0.8646011728683378)	(8.0, 0.8552597436296642)	(9.0, 0.7286314806165343)	('>10', 16.302869894649437)	('>50', 8.120815818153512)	('>100', 33.75577352223779)	('>500', 14.806165343297526)	('>1k', 5.095230681405366)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-011-2_S11_L002_R2_001	(1.0, 6.431055062535679)	(2.0, 2.098707768955317)	(3.0, 1.3327105713840885)	(4.0, 1.1832477035653122)	(5.0, 0.9549016555088484)	(6.0, 0.6974933831542893)	(7.0, 0.7774144999740517)	(8.0, 0.7888318023768748)	(9.0, 0.5791686127977581)	('>10', 12.814365042295917)	('>50', 10.536094244641653)	('>100', 29.54590274534226)	('>500', 14.316259276558203)	('>1k', 17.94384763090975)	('>5k', 0.0)	('>10k+', 0.0)
