Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Bch-16S-V3V4-027-2_S27_L002_R1_001	(1.0, 7.3614225510640345)	(2.0, 2.3051888562179896)	(3.0, 1.4030066922023192)	(4.0, 0.9423179275985726)	(5.0, 0.9248675956060064)	(6.0, 0.7119735452966992)	(7.0, 0.7145910950955842)	(8.0, 0.7189536780937258)	(9.0, 0.620359302335727)	('>10', 16.06215808255752)	('>50', 10.409123033565713)	('>100', 34.71830801581)	('>500', 16.348343527235606)	('>1k', 6.759386097320501)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-027-2_S27_L002_R2_001	(1.0, 7.473104675816457)	(2.0, 2.2196822294544156)	(3.0, 1.4710629869733272)	(4.0, 1.0644702515465356)	(5.0, 0.9117798466115817)	(6.0, 0.8166755372520962)	(7.0, 0.8123129542539546)	(8.0, 0.5444503581680642)	(9.0, 0.5104222107825601)	('>10', 13.659247367181159)	('>50', 10.120320039088744)	('>100', 29.12809416199143)	('>500', 10.011255464135205)	('>1k', 21.257121916744463)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-028-2_S28_L002_R1_001	(1.0, 7.473736947998759)	(2.0, 2.3030370505857)	(3.0, 1.5149466786483972)	(4.0, 1.1165276308778738)	(5.0, 1.002011976428861)	(6.0, 0.7872951243369622)	(7.0, 0.8016095811430889)	(8.0, 0.788885619537643)	(9.0, 0.6298360994695699)	('>10', 16.767000405576276)	('>50', 11.003045798309303)	('>100', 25.00258455470111)	('>500', 13.261548983275942)	('>1k', 17.547933549110514)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-028-2_S28_L002_R2_001	(1.0, 7.36637852195281)	(2.0, 2.427095676238797)	(3.0, 1.6032191622861778)	(4.0, 1.1865094197078259)	(5.0, 0.9741783104169482)	(6.0, 0.9876975196227344)	(7.0, 0.762642448726411)	(8.0, 0.6998178882995221)	(9.0, 0.6155216426634432)	('>10', 12.529921190962806)	('>50', 11.271839487224348)	('>100', 19.739635935648565)	('>500', 10.665065568164648)	('>1k', 29.170477228084962)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-029-2_S29_L002_R1_001	(1.0, 8.318481246984453)	(2.0, 2.434101046702837)	(3.0, 1.479957068444322)	(4.0, 1.181602449855746)	(5.0, 1.004362082377384)	(6.0, 1.0161781068759417)	(7.0, 0.8684778006439733)	(8.0, 0.7010841202477427)	(9.0, 0.8773398190178914)	('>10', 18.674242051261853)	('>50', 10.059375523105253)	('>100', 28.759218960780647)	('>500', 16.76496942603661)	('>1k', 7.8606102976653505)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-029-2_S29_L002_R2_001	(1.0, 8.136317535965025)	(2.0, 2.4636411079492304)	(3.0, 1.6069793318038146)	(4.0, 1.3076400445070258)	(5.0, 1.043748830705909)	(6.0, 0.8980178618903669)	(7.0, 0.8133363529840385)	(8.0, 0.8113670155676123)	(9.0, 0.7178234882873658)	('>10', 14.812371377649992)	('>50', 12.91393010821509)	('>100', 21.74936242701143)	('>500', 12.703211004657483)	('>1k', 20.022253512805616)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-030-2_S30_L002_R1_001	(1.0, 8.942255401196421)	(2.0, 2.6499233697533002)	(3.0, 1.842833835961833)	(4.0, 1.3397933455282542)	(5.0, 1.3472091758540563)	(6.0, 1.119790379196124)	(7.0, 0.8997874128639937)	(8.0, 1.0876551144509814)	(9.0, 1.0345083304493994)	('>10', 20.818707667968557)	('>50', 9.714737726800811)	('>100', 30.292430909180794)	('>500', 12.682305828842635)	('>1k', 6.228061501952835)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-030-2_S30_L002_R2_001	(1.0, 9.259900133484946)	(2.0, 3.0306026598111435)	(3.0, 1.8576654966134376)	(4.0, 1.4485588569733525)	(5.0, 0.9949572353784545)	(6.0, 0.9269787907252682)	(7.0, 0.7613585801156869)	(8.0, 0.8898996390962575)	(9.0, 0.8231571661640381)	('>10', 19.402284075740347)	('>50', 9.143718791714045)	('>100', 27.845206901666092)	('>500', 5.4160280812775)	('>1k', 18.19968359123943)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-031-2_S31_L002_R1_001	(1.0, 14.554152692838823)	(2.0, 3.9998027224304593)	(3.0, 2.1934799763266914)	(4.0, 1.509173406983626)	(5.0, 1.2638094298678242)	(6.0, 1.2058591438153483)	(7.0, 1.0270763464194121)	(8.0, 1.0061156046557507)	(9.0, 1.0209114223712763)	('>10', 19.49718879463405)	('>50', 10.791083053856775)	('>100', 28.255079897415662)	('>500', 12.363138686131386)	('>1k', 1.3131288222529098)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-031-2_S31_L002_R2_001	(1.0, 7.521207338725587)	(2.0, 2.505425133162359)	(3.0, 1.7570033537186822)	(4.0, 1.4746498323140658)	(5.0, 1.220654961530874)	(6.0, 0.9617281515091733)	(7.0, 0.7940422173998816)	(8.0, 1.0357072400868022)	(9.0, 0.8655553363582561)	('>10', 15.806865259420002)	('>50', 14.45674689287828)	('>100', 23.625221937265735)	('>500', 6.2771256658117975)	('>1k', 21.698066679818503)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-032-2_S32_L002_R1_001	(1.0, 7.971490475583573)	(2.0, 2.4901716649836767)	(3.0, 1.6117489044225057)	(4.0, 1.2627327183066832)	(5.0, 1.0686169743433889)	(6.0, 1.0529308536190822)	(7.0, 0.7754825933079088)	(8.0, 0.8470505191125577)	(9.0, 0.6705816609641082)	('>10', 20.005686218762563)	('>50', 9.845981902138215)	('>100', 29.91833413397908)	('>500', 11.260673914961618)	('>1k', 11.218517465515045)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-032-2_S32_L002_R2_001	(1.0, 8.05678375702199)	(2.0, 2.558798443152518)	(3.0, 1.6735130047744629)	(4.0, 1.3411633219282164)	(5.0, 1.2058705306810718)	(6.0, 1.0646954441623122)	(7.0, 0.7892079489416771)	(8.0, 0.7999921569396379)	(9.0, 0.6970519896863756)	('>10', 15.162596445132891)	('>50', 12.473407123459573)	('>100', 24.07525416417486)	('>500', 11.656748463250361)	('>1k', 18.444917206694054)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-033-2_S33_L002_R1_001	(1.0, 7.773669885008555)	(2.0, 2.386715252103448)	(3.0, 1.5001196904008298)	(4.0, 1.0745538207835732)	(5.0, 1.028450851575037)	(6.0, 0.8458121658642977)	(7.0, 0.7199155961025259)	(8.0, 0.7305547428429573)	(9.0, 0.8458121658642977)	('>10', 16.484471278736777)	('>50', 8.783502229787837)	('>100', 29.325034798875798)	('>500', 16.715872720341164)	('>1k', 11.785514801712903)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-033-2_S33_L002_R2_001	(1.0, 7.137094271706077)	(2.0, 2.303375269303402)	(3.0, 1.4921403303455063)	(4.0, 1.1596669947070246)	(5.0, 0.9708221400643668)	(6.0, 1.0160385137112002)	(7.0, 0.6826785825110159)	(8.0, 0.6596270979067479)	(9.0, 0.5824932840386201)	('>10', 10.922857320176254)	('>50', 12.084297506006685)	('>100', 25.454158576482165)	('>500', 11.98145242084918)	('>1k', 23.55329769219175)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-034-2_S34_L002_R1_001	(1.0, 7.586750648913458)	(2.0, 2.439737422595477)	(3.0, 1.4936083131793658)	(4.0, 1.14456817356331)	(5.0, 0.8460236886632826)	(6.0, 0.8982911207377681)	(7.0, 0.8557684641347969)	(8.0, 0.7654078188534829)	(9.0, 0.5979748584792834)	('>10', 17.48301308457579)	('>50', 10.10887571867719)	('>100', 29.682586086232405)	('>500', 13.186452990317237)	('>1k', 12.91094161107715)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-034-2_S34_L002_R2_001	(1.0, 7.639903969667172)	(2.0, 2.367094550898734)	(3.0, 1.5122119754431658)	(4.0, 1.1374810641294815)	(5.0, 1.0453486414897104)	(6.0, 0.8291918037579399)	(7.0, 0.6139208547053977)	(8.0, 0.7228851622505116)	(9.0, 0.629866850931512)	('>10', 12.346630522408555)	('>50', 11.685757567704043)	('>100', 21.383580939219176)	('>500', 16.36502157138934)	('>1k', 21.72110452600526)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-035-2_S35_L002_R1_001	(1.0, 9.643678375801537)	(2.0, 2.798601633919725)	(3.0, 1.7077639229029182)	(4.0, 1.4282776541848161)	(5.0, 1.098315604494214)	(6.0, 0.8973472172888898)	(7.0, 0.8833261670187508)	(8.0, 0.8225682825148156)	(9.0, 0.8496756463704175)	('>10', 17.48705389691724)	('>50', 10.798078181376306)	('>100', 23.989082275522986)	('>500', 12.751677852348994)	('>1k', 14.844553289338394)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-035-2_S35_L002_R2_001	(1.0, 8.053691275167784)	(2.0, 2.3517974986446317)	(3.0, 1.5927913106877793)	(4.0, 1.3048924118075937)	(5.0, 1.0515787702604176)	(6.0, 0.8973472172888898)	(7.0, 0.7590061879568525)	(8.0, 0.7477893477407415)	(9.0, 0.6309472621562505)	('>10', 13.171374623768484)	('>50', 14.193041820119273)	('>100', 17.643154923258116)	('>500', 9.972705688807464)	('>1k', 27.62988166233572)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-036-2_S36_L002_R1_001	(1.0, 7.605745542611382)	(2.0, 2.3445655350954113)	(3.0, 1.6128022046849555)	(4.0, 1.1315712555847843)	(5.0, 1.0230072236836611)	(6.0, 1.0898158586997369)	(7.0, 0.8914777234957618)	(8.0, 0.9186187314710427)	(9.0, 0.9019165727170236)	('>10', 18.00075159714393)	('>50', 11.139296004008518)	('>100', 31.407365652010522)	('>500', 15.111278132698652)	('>1k', 6.821787966094618)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-036-2_S36_L002_R2_001	(1.0, 7.940832602613888)	(2.0, 2.4385151780867678)	(3.0, 1.7067518476763122)	(4.0, 1.2526619065514217)	(5.0, 0.9499352791348281)	(6.0, 0.9833395966428661)	(7.0, 0.7891770011273956)	(8.0, 0.768299302684872)	(9.0, 0.6106726794438181)	('>10', 14.479727754812311)	('>50', 14.207273790137375)	('>100', 25.04279928180717)	('>500', 7.660027558561944)	('>1k', 21.16998622071903)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-037-2_S37_L002_R1_001	(1.0, 13.207260344775165)	(2.0, 3.6058496245173455)	(3.0, 2.1556048767139946)	(4.0, 1.641786506947189)	(5.0, 1.297214030180495)	(6.0, 1.1735733179289167)	(7.0, 0.9648029349467433)	(8.0, 0.8756194703718343)	(9.0, 0.9212246511203673)	('>10', 17.089781399166945)	('>50', 8.522088109209207)	('>100', 30.322377955469076)	('>500', 15.984109128130289)	('>1k', 2.2387076505224326)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-037-2_S37_L002_R2_001	(1.0, 8.399460845418707)	(2.0, 2.3572811204686186)	(3.0, 1.5475358000668877)	(4.0, 1.36207473168952)	(5.0, 0.8817001611383053)	(6.0, 0.857377398072421)	(7.0, 0.8300142896233011)	(8.0, 0.5513159628267105)	(9.0, 0.6111094220303427)	('>10', 14.353470554254963)	('>50', 11.269546887193052)	('>100', 28.723156283887185)	('>500', 7.059681979872913)	('>1k', 21.196274563457077)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-038-2_S38_L002_R1_001	(1.0, 7.702869696553619)	(2.0, 2.2274093398629993)	(3.0, 1.3410224724243671)	(4.0, 1.046577265168505)	(5.0, 0.7818817032053336)	(6.0, 0.7139914870245778)	(7.0, 0.742215509481746)	(8.0, 0.7567089264192106)	(9.0, 0.6522037621859124)	('>10', 17.511861717546186)	('>50', 9.489374036950585)	('>100', 34.30362945672571)	('>500', 17.13732131142539)	('>1k', 5.592933315025859)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-038-2_S38_L002_R2_001	(1.0, 6.6234915404213766)	(2.0, 2.032129616916106)	(3.0, 1.3730605519703418)	(4.0, 1.0984484415762736)	(5.0, 0.9573283292904328)	(6.0, 0.8467206737150441)	(7.0, 0.7101774299357713)	(8.0, 0.6529665736036737)	(9.0, 0.6453384594260607)	('>10', 12.333135002364717)	('>50', 9.511495568065662)	('>100', 29.76108746395716)	('>500', 8.240651746075335)	('>1k', 25.213968602682048)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-039-2_S39_L002_R1_001	(1.0, 7.590259449230616)	(2.0, 2.2887306409043373)	(3.0, 1.3535182510831134)	(4.0, 1.314675563965938)	(5.0, 1.035804989791345)	(6.0, 1.0696678452268313)	(7.0, 0.7180917284995767)	(8.0, 0.7808376076888601)	(9.0, 0.7888053383795628)	('>10', 19.453214481350532)	('>50', 9.657885563467955)	('>100', 29.09217668442807)	('>500', 11.329117075842836)	('>1k', 13.527214780140431)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-039-2_S39_L002_R2_001	(1.0, 7.2765300532841986)	(2.0, 2.3026741696130673)	(3.0, 1.5537074846870176)	(4.0, 1.2867885065484788)	(5.0, 1.1254419600617498)	(6.0, 0.8963697027040486)	(7.0, 0.8017529007519546)	(8.0, 0.7808376076888601)	(9.0, 0.6095313978387531)	('>10', 13.502315621731986)	('>50', 9.68776455355809)	('>100', 20.3844430058264)	('>500', 8.70474577959265)	('>1k', 31.087097256112745)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-040-2_S40_L002_R1_001	(1.0, 8.468592719151083)	(2.0, 2.5072304161220265)	(3.0, 1.5037207052357475)	(4.0, 1.1898022828559371)	(5.0, 0.8748546197470126)	(6.0, 1.0189483218229913)	(7.0, 0.9582231188052573)	(8.0, 0.7328193991292624)	(9.0, 0.8058954908963658)	('>10', 19.078006154859562)	('>50', 10.917156413713604)	('>100', 35.46660628454389)	('>500', 13.7280128449243)	('>1k', 2.7501312281929624)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-040-2_S40_L002_R2_001	(1.0, 8.07233503844214)	(2.0, 2.2807974557169177)	(3.0, 1.5191593161724595)	(4.0, 1.2556736895192417)	(5.0, 0.9314628598482899)	(6.0, 0.8583867680811865)	(7.0, 0.8429481571444745)	(8.0, 0.8645622124558713)	(9.0, 0.722526991838121)	('>10', 15.910003190646261)	('>50', 12.030794882615096)	('>100', 24.409473131670765)	('>500', 8.540639570189072)	('>1k', 21.761236735660102)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-041-2_S41_L002_R1_001	(1.0, 8.872660451632832)	(2.0, 2.523504391974844)	(3.0, 1.5825366525943938)	(4.0, 1.1912588215725568)	(5.0, 0.9979960872216898)	(6.0, 0.9789866379412766)	(7.0, 0.8760187876723722)	(8.0, 0.6589942417209887)	(9.0, 0.6985972610551828)	('>10', 16.247534712046445)	('>50', 9.169683096639288)	('>100', 24.55704022874704)	('>500', 13.910164510942312)	('>1k', 17.735024118238773)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-041-2_S41_L002_R2_001	(1.0, 6.371333750485136)	(2.0, 2.04509991841778)	(3.0, 1.342542355429178)	(4.0, 1.042351468875987)	(5.0, 0.8316634060180748)	(6.0, 0.7223590726556993)	(7.0, 0.7817636016569903)	(8.0, 0.6146388600666914)	(9.0, 0.584540565372704)	('>10', 12.2008981964785)	('>50', 10.67222165017861)	('>100', 20.183282773478652)	('>500', 6.968547282044783)	('>1k', 35.63875709884122)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-042-2_S42_L002_R1_001	(1.0, 7.220698482355092)	(2.0, 2.2216127262753704)	(3.0, 1.2643993417443773)	(4.0, 1.086121777290181)	(5.0, 0.8365331870543061)	(6.0, 0.8612177729018101)	(7.0, 0.7359663558237338)	(8.0, 0.863046260742366)	(9.0, 0.6088864509051015)	('>10', 17.124702870725912)	('>50', 10.618943134028157)	('>100', 34.47979520936186)	('>500', 17.164929603218138)	('>1k', 4.9131468275735966)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-042-2_S42_L002_R2_001	(1.0, 7.169500822819528)	(2.0, 2.0515633571036753)	(3.0, 1.5523861766319254)	(4.0, 1.243371731577985)	(5.0, 1.0193819711098921)	(6.0, 0.8612177729018101)	(7.0, 0.7359663558237338)	(8.0, 0.7387090875845675)	(9.0, 0.6335710367526056)	('>10', 14.01993051746206)	('>50', 10.620771621868714)	('>100', 26.18851709636131)	('>500', 8.14499908575608)	('>1k', 25.020113366246115)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-043-2_S43_L002_R1_001	(1.0, 7.412300408404139)	(2.0, 2.1245062601849556)	(3.0, 1.3620177444556958)	(4.0, 0.9388600897282001)	(5.0, 0.7779126457747942)	(6.0, 0.792666161470523)	(7.0, 0.779253874474406)	(8.0, 0.6169652018213886)	(9.0, 0.5613042107875025)	('>10', 15.707799915502592)	('>50', 9.334281134947725)	('>100', 29.71089815379869)	('>500', 15.62263189307725)	('>1k', 14.258602305572134)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-043-2_S43_L002_R2_001	(1.0, 6.507641650516039)	(2.0, 2.0051369059195125)	(3.0, 1.2755084933307403)	(4.0, 1.1427268520691807)	(5.0, 0.821502578512175)	(6.0, 0.7966898475693583)	(7.0, 0.741699470885278)	(8.0, 0.7403582421856663)	(9.0, 0.6035529148252714)	('>10', 11.029594211256931)	('>50', 9.788287049766291)	('>100', 24.726892306041563)	('>500', 12.596149332403414)	('>1k', 27.224260144718578)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-044-2_S44_L002_R1_001	(1.0, 6.806102938307254)	(2.0, 2.150856518515628)	(3.0, 1.3298474265423186)	(4.0, 0.9927030085456744)	(5.0, 0.9443165411480079)	(6.0, 0.8381784836305459)	(7.0, 0.7320404261130838)	(8.0, 0.6305849299566864)	(9.0, 0.681312678034885)	('>10', 15.48679127482733)	('>50', 8.921840246614899)	('>100', 28.448121122253873)	('>500', 16.20478401685722)	('>1k', 15.832520388652593)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-044-2_S44_L002_R2_001	(1.0, 6.984820696921217)	(2.0, 2.004136262535607)	(3.0, 1.3275061458617863)	(4.0, 1.1113278963593087)	(5.0, 0.9052951964724705)	(6.0, 0.7773051859367074)	(7.0, 0.7757443321496859)	(8.0, 0.6742888359932884)	(9.0, 0.6883365200764818)	('>10', 12.576579388925744)	('>50', 10.373434268544894)	('>100', 19.444336051820347)	('>500', 8.73609864595934)	('>1k', 33.62079057244313)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-045-2_S45_L002_R1_001	(1.0, 7.449318245431645)	(2.0, 2.173617497700828)	(3.0, 1.3339197888760046)	(4.0, 1.0812107641249151)	(5.0, 0.947658842816586)	(6.0, 0.8157063457155423)	(7.0, 0.8005118157463313)	(8.0, 0.6397696829141509)	(9.0, 0.6477668039505777)	('>10', 17.083449958015116)	('>50', 9.26226558438962)	('>100', 31.607821184373623)	('>500', 11.567035867087847)	('>1k', 14.58994761885721)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-045-2_S45_L002_R2_001	(1.0, 7.754808269023152)	(2.0, 2.231196769163101)	(3.0, 1.4346835139349834)	(4.0, 1.0172337958335)	(5.0, 0.983645887480507)	(6.0, 0.6957495301691391)	(7.0, 0.5877883961773762)	(8.0, 0.665360470230717)	(9.0, 0.7125434843456356)	('>10', 13.121676196569235)	('>50', 10.019592946539246)	('>100', 30.420248710464232)	('>500', 11.038426166580031)	('>1k', 19.31704586348914)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-046-2_S46_L002_R1_001	(1.0, 7.14863184079602)	(2.0, 2.2838930348258706)	(3.0, 1.3969216417910446)	(4.0, 1.1007462686567164)	(5.0, 0.8589863184079602)	(6.0, 0.816231343283582)	(7.0, 0.740049751243781)	(8.0, 0.7898009950248756)	(9.0, 0.7346082089552239)	('>10', 16.482431592039802)	('>50', 9.341573383084576)	('>100', 33.68858830845771)	('>500', 17.39972014925373)	('>1k', 7.217817164179105)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-046-2_S46_L002_R2_001	(1.0, 7.28544776119403)	(2.0, 2.2030472636815923)	(3.0, 1.4878731343283582)	(4.0, 1.1567164179104477)	(5.0, 1.1077425373134329)	(6.0, 0.9281716417910448)	(7.0, 0.9032960199004976)	(8.0, 0.7151741293532339)	(9.0, 0.6996268656716418)	('>10', 11.662779850746269)	('>50', 10.739272388059701)	('>100', 27.885572139303484)	('>500', 7.895677860696518)	('>1k', 25.32960199004975)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-047-2_S47_L002_R1_001	(1.0, 7.971500023592696)	(2.0, 2.3083093474260368)	(3.0, 1.5203133109989146)	(4.0, 1.1060255744821403)	(5.0, 0.839899966970226)	(6.0, 0.9229462558391922)	(7.0, 0.8785919879205397)	(8.0, 0.6794696362006323)	(9.0, 0.704949747558156)	('>10', 18.98645779266739)	('>50', 11.01873260038692)	('>100', 31.993582786769213)	('>500', 15.515500401075826)	('>1k', 5.553720568112112)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-047-2_S47_L002_R2_001	(1.0, 7.729910819610248)	(2.0, 2.2743358656160053)	(3.0, 1.5769357806823008)	(4.0, 1.2721181522200726)	(5.0, 1.0286415325815128)	(6.0, 0.9399329967442079)	(7.0, 0.739866937196244)	(8.0, 0.739866937196244)	(9.0, 0.6285094134855849)	('>10', 15.732553201528807)	('>50', 12.087953569574859)	('>100', 24.7742179021375)	('>500', 8.985042230925306)	('>1k', 21.49011466050111)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-048-2_S48_L002_R1_001	(1.0, 7.741522151232185)	(2.0, 2.350277329214351)	(3.0, 1.5744576283086429)	(4.0, 1.1128273537878257)	(5.0, 0.8644597346064733)	(6.0, 0.8161904093238784)	(7.0, 0.8354981394369163)	(8.0, 0.6950782840693674)	(9.0, 0.7345713683914906)	('>10', 18.32566874956119)	('>50', 8.955276276065435)	('>100', 33.361124763041495)	('>500', 15.087235835147089)	('>1k', 7.5458119778136625)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-048-2_S48_L002_R2_001	(1.0, 7.465948185073369)	(2.0, 2.2712911605701045)	(3.0, 1.545496033139086)	(4.0, 1.3936670645229234)	(5.0, 0.969774626132135)	(6.0, 0.9530997683072386)	(7.0, 0.8785017201432284)	(8.0, 0.8074141683634066)	(9.0, 0.6476865828828197)	('>10', 13.510145334550305)	('>50', 11.75577476655199)	('>100', 24.125886400337006)	('>500', 10.239240328582461)	('>1k', 23.436073860843923)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-049-2_S49_L002_R1_001	(1.0, 9.221291468962958)	(2.0, 2.641907328217445)	(3.0, 1.7515084060687716)	(4.0, 1.3473141585144397)	(5.0, 0.9958408997715424)	(6.0, 0.9899830121258274)	(7.0, 0.8679436861734325)	(8.0, 0.7810516860953274)	(9.0, 0.711733348954367)	('>10', 18.22095952199637)	('>50', 10.233729717064028)	('>100', 33.70921445726671)	('>500', 14.901489856091226)	('>1k', 3.626032452697557)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-049-2_S49_L002_R2_001	(1.0, 7.028488860250327)	(2.0, 2.3060551031964542)	(3.0, 1.5992033272801829)	(4.0, 1.3707457090972996)	(5.0, 1.269208989904907)	(6.0, 1.1305723156229863)	(7.0, 0.9226173042001055)	(8.0, 0.8903989221486731)	(9.0, 0.6853728545486498)	('>10', 13.041610528576728)	('>50', 13.27299709058247)	('>100', 24.0827524261418)	('>500', 9.484896413020131)	('>1k', 22.915080155429283)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-050-2_S50_L002_R1_001	(1.0, 7.4230755057670335)	(2.0, 2.3215535984080775)	(3.0, 1.3995651693260125)	(4.0, 1.1320337546523196)	(5.0, 0.777536205181118)	(6.0, 0.7340531377823636)	(7.0, 0.73257913549766)	(8.0, 0.7252091240741423)	(9.0, 0.5107417916497771)	('>10', 14.83878100011055)	('>50', 9.746103106459815)	('>100', 30.528798319637396)	('>500', 14.616206655120315)	('>1k', 14.513763496333421)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-050-2_S50_L002_R2_001	(1.0, 7.182813133360357)	(2.0, 2.1771013745071306)	(3.0, 1.4636842687106164)	(4.0, 1.247005932859196)	(5.0, 1.0207465821572024)	(6.0, 0.857869329697461)	(7.0, 0.6500350075542617)	(8.0, 0.6013929321590448)	(9.0, 0.7163651103659211)	('>10', 10.654088513837197)	('>50', 12.589453513652945)	('>100', 22.94284556141062)	('>500', 13.542395990713786)	('>1k', 24.354202749014263)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-051-2_S51_L002_R1_001	(1.0, 13.530727527770406)	(2.0, 3.396898813360125)	(3.0, 2.134435303484096)	(4.0, 1.2131781476286156)	(5.0, 1.143673149587393)	(6.0, 1.107025059711112)	(7.0, 0.902301247298783)	(8.0, 0.9402130644121773)	(9.0, 0.7279068885771696)	('>10', 17.74778531801696)	('>50', 11.643982762760485)	('>100', 37.60852257648709)	('>500', 7.903350140905586)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-051-2_S51_L002_R2_001	(1.0, 7.818680416019006)	(2.0, 2.527454474226283)	(3.0, 1.724987678659438)	(4.0, 1.4103195966182658)	(5.0, 1.1815849667007872)	(6.0, 0.9250483375668197)	(7.0, 0.911147337958575)	(8.0, 0.5863694380204977)	(9.0, 0.6596656177730599)	('>10', 15.85345818958436)	('>50', 14.069075330780603)	('>100', 29.564898712261943)	('>500', 6.499349180472887)	('>1k', 16.267960723357472)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-052-2_S52_L002_R1_001	(1.0, 7.860307897087412)	(2.0, 2.4782387866262674)	(3.0, 1.358214967511428)	(4.0, 1.085871411807976)	(5.0, 0.932623430302818)	(6.0, 0.8511830744172197)	(7.0, 0.6988107956635199)	(8.0, 0.7285846892130935)	(9.0, 0.7881324763122406)	('>10', 16.966740809499623)	('>50', 10.403348687321575)	('>100', 35.88980156575652)	('>500', 15.795926230800216)	('>1k', 4.162215177680088)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-052-2_S52_L002_R2_001	(1.0, 7.090565178555791)	(2.0, 2.2593130987617562)	(3.0, 1.6077902516769709)	(4.0, 1.2750232061229136)	(5.0, 0.9370019440601082)	(6.0, 0.7460987442422544)	(7.0, 0.8397989386482653)	(8.0, 0.6585284690964499)	(9.0, 0.7723698267859958)	('>10', 12.575091510937527)	('>50', 9.292081895721315)	('>100', 31.278350876578454)	('>500', 8.392735169973903)	('>1k', 22.275250888838293)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-053-2_S53_L002_R1_001	(1.0, 7.66620809051984)	(2.0, 2.3232807258899726)	(3.0, 1.3656809855780379)	(4.0, 0.9923793918971141)	(5.0, 0.8540336667027344)	(6.0, 0.769789621751967)	(7.0, 0.6654506669964293)	(8.0, 0.7481489496545222)	(9.0, 0.5008269828265809)	('>10', 15.753636405793516)	('>50', 10.812607237259055)	('>100', 31.59460838112315)	('>500', 14.5603079158487)	('>1k', 11.39304097815838)	('>5k', 0.0)	('>10k+', 0.0)
