.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Bch-16S-V3V4-026-2_S26_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-026-2_S26_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-027-2_S27_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-027-2_S27_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-028-2_S28_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-028-2_S28_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-029-2_S29_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-029-2_S29_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-030-2_S30_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-030-2_S30_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-031-2_S31_L002_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-031-2_S31_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-032-2_S32_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-032-2_S32_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-033-2_S33_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-033-2_S33_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-034-2_S34_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-034-2_S34_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-035-2_S35_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-035-2_S35_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-036-2_S36_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-036-2_S36_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-037-2_S37_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-037-2_S37_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-038-2_S38_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-038-2_S38_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-039-2_S39_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-039-2_S39_L002_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-040-2_S40_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-040-2_S40_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-041-2_S41_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-041-2_S41_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-042-2_S42_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-042-2_S42_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-043-2_S43_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-043-2_S43_L002_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-044-2_S44_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-044-2_S44_L002_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-045-2_S45_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-045-2_S45_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-046-2_S46_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-046-2_S46_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-047-2_S47_L002_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-047-2_S47_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-048-2_S48_L002_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
Bch-16S-V3V4-048-2_S48_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-049-2_S49_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-049-2_S49_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-050-2_S50_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-050-2_S50_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-051-2_S51_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-051-2_S51_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-052-2_S52_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-052-2_S52_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-053-2_S53_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-053-2_S53_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-054-2_S54_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-054-2_S54_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
